ML Number Display,Area Display,Street Full Address,Property Type,Property Subtype 1 Display,Listing Date,Status Date,Status Display,Listing Price,Selling Price
21911291,Fairfax,"107 Spruce Rd, Fairfax, CA 94930-1571",RESI,Single Family,5/8/19,6/25/19,Sold,"775,000","760,000"
21830231,Fairfax,"71 Spruce Rd, Fairfax, CA 94930-1541",RESI,Single Family,12/2/18,1/18/19,Sold,"799,000","823,000"
21906144,Fairfax,"51 Ridge Rd, Fairfax, CA 94930-1920",RESI,Single Family,10/29/18,5/13/19,Sold,"1,849,000","1,900,000"
21911033,Fairfax,"34 Bothin Rd, Fairfax, CA 94930-1403",RESI,Single Family,4/29/19,6/28/19,Sold,"1,997,000","1,980,000"
21900528,Fairfax,"5 Hawthorne Ct, Fairfax, CA 94930-1414",RESI,Single Family,1/9/19,2/15/19,Sold,"1,199,000","1,210,000"
21900566,Fairfax,"26 Scenic Rd, Fairfax, CA 94930-1512",RESI,Single Family,1/3/19,2/4/19,Sold,"799,000","875,000"
21911145,Fairfax,"106 Spruce Rd, Fairfax, CA 94930-1517",RESI,Single Family,4/7/19,7/1/19,Sold,"699,000","888,000"
21913411,Fairfax,"115 Marinda Dr, Fairfax, CA 94930-1104",RESI,Single Family,5/3/19,7/1/19,Sold,"1,090,000","1,300,000"
21900931,San Anselmo,"37 Angela Ave, San Anselmo, CA 94960-1316",RESI,Single Family,1/22/19,3/29/19,Sold,"1,325,000","1,385,000"
21904152,San Anselmo,"155 Camino De Herrera Dr, San Anselmo, CA 94960-1303",RESI,Single Family,2/27/19,4/10/19,Sold,"1,395,000","1,400,000"
21905256,San Anselmo,"318 Butterfield Rd, San Anselmo, CA 94960-1223",RESI,Single Family,3/12/19,4/2/19,Sold,"1,199,000","1,199,000"
21910413,San Anselmo,"183 Butterfield Rd, San Anselmo, CA 94960-1263",RESI,Single Family,4/1/19,6/13/19,Sold,"825,000","840,000"
21905204,San Anselmo,"8 Fairview Ct, San Anselmo, CA 94960-1521",RESI,Single Family,2/1/19,4/25/19,Sold,"1,149,000","1,085,000"
21911359,San Anselmo,"79 Valley Rd, San Anselmo, CA 94960-1531",RESI,Single Family,5/8/19,6/10/19,Sold,"1,350,000","1,375,000"
21901394,San Anselmo,"30 Hillcrest Ct, San Anselmo, CA 94960-1505",RESI,Single Family,1/15/19,3/13/19,Sold,"1,195,000","1,160,000"
21817747,San Anselmo,"10 Ray Ct, San Anselmo, CA 94960-1221",RESI,Single Family,5/29/18,3/15/19,Sold,"2,595,000","2,360,000"
21901946,San Anselmo,"136 Butterfield Rd, San Anselmo, CA 94960-1262",RESI,Single Family,12/4/18,2/28/19,Sold,"879,000","975,000"
21903808,San Anselmo,"56 Suffield Ave, San Anselmo, CA 94960-1526",RESI,Single Family,3/1/19,3/27/19,Sold,"1,249,000","1,356,000"
21905763,San Anselmo,"182 Meadowcroft Dr, San Anselmo, CA 94960-1507",RESI,Single Family,3/19/19,4/23/19,Sold,"985,000","985,000"
21905591,San Anselmo,"110 Meadowcroft Dr, San Anselmo, CA 94960",RESI,Single Family,2/9/19,4/22/19,Sold,"998,000","1,100,000"
21900025,San Anselmo,"172 Morningside Dr, San Anselmo, CA 94960-1535",RESI,Single Family,1/1/19,3/20/19,Sold,"1,199,000","1,320,000"
21829372,San Anselmo,"1420 Sir Francis Drake Blvd, San Anselmo, CA 94960-1823",RESI,Single Family,11/17/18,1/15/19,Sold,"900,000","900,000"
21905861,San Anselmo,"1440 Sir Francis Drake Blvd, San Anselmo, CA 94960-1823",RESI,Single Family,3/3/19,5/13/19,Sold,"699,000","785,000"
